Voltage,Current,Timestamp,Status
0.0638697,-0.0004765326,5.75e-07,01020041
-0.141716,-0.0005473568,5.8e-07,01020041
-0.295546,-0.0006092123,5.85e-07,01020041
-0.373179,-0.0006359923,5.9e-07,01020041
-0.414872,-0.0006746077,5.95e-07,01020041
-0.442187,-0.0006830356,6e-07,01020041
-0.445063,-0.0006797715,6.05e-07,01020041
-0.447938,-0.0006736518,6.1e-07,01020041
-0.456564,-0.0006367979,6.15e-07,01020041
-0.459439,-0.0006014407,6.2e-07,01020041
-0.469503,-0.000537661,6.25e-07,01020041
-0.476691,-0.0004723859,6.3e-07,01020041
-0.468065,-0.0004106484,6.35e-07,01020041
-0.473816,-0.0003342225,6.4e-07,01020041
-0.46519,-0.0002864917,6.45e-07,01020041
-0.460877,-0.0002248897,6.5e-07,01020041
-0.46519,-0.0001774293,6.55e-07,01020041
-0.453689,-0.0001415299,6.6e-07,01020041
-0.453689,-9.44781e-05,6.65e-07,01020041
-0.466627,-7.59821e-05,6.7e-07,01020041
-0.452251,-4.36188e-05,6.75e-07,01020041
-0.455126,-2.72998e-05,6.8e-07,01020041
-0.449376,-1.75094e-05,6.85e-07,01020041
-0.447938,9.847683e-07,6.9e-07,01020041
-0.449376,-4.5906e-06,6.95e-07,01020041
-0.443625,7.7836e-06,7e-07,01020041
-0.453689,5.7451e-06,7.05e-07,01020041
-0.443625,2.7521e-06,7.1e-07,01020041
-0.447938,1.11839e-05,7.15e-07,01020041
-0.4465,-1.7352e-06,7.2e-07,01020041
-0.443625,4.7919e-06,7.25e-07,01020041
-0.449376,-1.1909e-06,7.3e-07,01020041
-0.44075,-5.9515e-06,7.35e-07,01020041
-0.434999,3.032236e-07,7.4e-07,01020041
-0.447938,-1.22061e-05,7.45e-07,01020041
-0.450813,-4.1824e-06,7.5e-07,01020041
-0.459439,-9.0769e-06,7.55e-07,01020041
-0.475253,-1.26106e-05,7.6e-07,01020041
-0.482442,-5.6744e-06,7.65e-07,01020041
-0.476691,-1.17945e-05,7.7e-07,01020041
-0.486755,3.77063e-05,7.75e-07,01020041
-0.469503,0.0001486704,7.8e-07,01020041
-0.393307,0.000284785,7.85e-07,01020041
-0.24379,0.0004193945,7.9e-07,01020041
-0.0554562,0.0005089872,7.95e-07,01020041
0.13144,0.0005973562,8e-07,01020041
0.301084,0.0006495546,8.05e-07,01020041
0.372967,0.0006889822,8.1e-07,01020041
0.421847,0.000724333,8.15e-07,01020041
0.447725,0.0007247378,8.2e-07,01020041
0.440537,0.0007303142,8.25e-07,01020041
0.441975,0.000707468,8.3e-07,01020041
0.462102,0.0006729246,8.35e-07,01020041
0.46354,0.0006300882,8.4e-07,01020041
0.466415,0.0005529827,8.45e-07,01020041
0.472166,0.0004896115,8.5e-07,01020041
0.467853,0.0004140027,8.55e-07,01020041
0.467853,0.000343289,8.6e-07,01020041
0.454914,0.0002890314,8.65e-07,01020041
0.466415,0.000220492,8.7e-07,01020041
0.462102,0.0001787442,8.75e-07,01020041
0.483667,0.0001299218,8.8e-07,01020041
0.48798,9.13007e-05,8.85e-07,01020041
0.483667,6.27438e-05,8.9e-07,01020041
0.48798,-1.3546e-05,8.95e-07,01020041
0.470728,-0.0001173027,9e-07,01020041
0.391657,-0.0002543688,9.05e-07,01020041
0.236389,-0.0003780987,9.1e-07,01020041
0.0523684,-0.0004721795,9.15e-07,01020041
-0.150342,-0.0005574189,9.2e-07,01020041
-0.304172,-0.0005987402,9.25e-07,01020041
