Voltage,Current,Timestamp,Status
-0.10865,-5.34525e-05,0.0,01020041
-0.111525,-3.76775e-05,1e-08,01020041
-0.112244,-2.23788e-05,2e-08,01020041
-0.115119,-1.28593e-05,3e-08,01020041
-0.107931,-7.1487e-06,4e-08,01020041
-0.1144,-3.2722e-06,5e-08,01020041
-0.113682,-7.65969e-08,6e-08,01020041
-0.112244,2.167e-06,7e-08,01020041
-0.1144,8.074142e-07,8e-08,01020041
-0.110087,-1.029e-06,9e-08,01020041
-0.110806,-2.6607e-06,1e-07,01020041
-0.1144,-1.7084e-06,1.1e-07,01020041
-0.113682,-1.3005e-06,1.2e-07,01020041
-0.111525,-1.9807e-06,1.3e-07,01020041
-0.112963,-3.2044e-06,1.4e-07,01020041
-0.109369,-4.0208e-06,1.5e-07,01020041
-0.109369,-2.6609e-06,1.6e-07,01020041
-0.110087,-9.609646e-07,1.7e-07,01020041
-0.110806,-9.608755e-07,1.8e-07,01020041
-0.111525,-2.5926e-06,1.9e-07,01020041
-0.10865,-3.6809e-06,2e-07,01020041
-0.1144,-2.1843e-06,2.1e-07,01020041
-0.107931,-2.13298e-07,2.2e-07,01020041
-0.110806,-1.2329e-06,2.3e-07,01020041
-0.106493,-2.0493e-06,2.4e-07,01020041
-0.110087,-2.6608e-06,2.5e-07,01020041
-0.110806,-1.7088e-06,2.6e-07,01020041
-0.110806,5.349926e-07,2.7e-07,01020041
-0.107931,4.66642e-07,2.8e-07,01020041
-0.112244,-1.1647e-06,2.9e-07,01020041
-0.10865,-2.865e-06,3e-07,01020041
-0.110806,-1.9808e-06,3.1e-07,01020041
-0.110806,-8.9594e-09,3.2e-07,01020041
-0.111525,2.631057e-07,3.3e-07,01020041
-0.109369,-1.505e-06,3.4e-07,01020041
-0.111525,-2.3887e-06,3.5e-07,01020041
-0.107931,-1.7772e-06,3.6e-07,01020041
-0.112963,-8.692e-09,3.7e-07,01020041
-0.110087,1.0789e-06,3.8e-07,01020041
-0.110806,-1.449474e-07,3.9e-07,01020041
-0.110806,-1.7088e-06,4e-07,01020041
-0.111525,-1.6407e-06,4.1e-07,01020041
-0.111525,-2.128523e-07,4.2e-07,01020041
-0.112244,8.071468e-07,4.3e-07,01020041
-0.10865,-5.531789e-07,4.4e-07,01020041
-0.112244,-2.3886e-06,4.5e-07,01020041
-0.110087,-1.8449e-06,4.6e-07,01020041
-0.107212,-1.453933e-07,4.7e-07,01020041
-0.115119,1.1475e-06,4.8e-07,01020041
-0.112244,-1.447692e-07,4.9e-07,01020041
-0.109369,-1.369e-06,5e-07,01020041
-0.112963,-1.9125e-06,5.1e-07,01020041
-0.113682,-8.6029e-09,5.2e-07,01020041
-0.115119,6.715155e-07,5.3e-07,01020041
-0.113682,-1.445909e-07,5.4e-07,01020041
-0.115838,-2.0482e-06,5.5e-07,01020041
-0.113682,-1.9804e-06,5.6e-07,01020041
-0.1144,-6.204597e-07,5.7e-07,01020041
-0.113682,1.0793e-06,5.8e-07,01020041
-0.112244,1.272068e-07,5.9e-07,01020041
-0.118713,-1.2999e-06,6e-07,01020041
-0.112244,-2.0486e-06,6.1e-07,01020041
-0.113682,-2.125849e-07,6.2e-07,01020041
-0.117994,1.1478e-06,6.3e-07,01020041
-0.115838,-7.63293e-08,6.4e-07,01020041
-0.115838,-1.2322e-06,6.5e-07,01020041
-0.120151,-1.9796e-06,6.6e-07,01020041
-0.112963,-8.92614e-07,6.7e-07,01020041
-0.113682,1.1473e-06,6.8e-07,01020041
-0.118713,2.639972e-07,6.9e-07,01020041
-0.115838,-1.0282e-06,7e-07,01020041
-0.116557,-1.8441e-06,7.1e-07,01020041
-0.12087,-6.196573e-07,7.2e-07,01020041
-0.112244,1.2151e-06,7.3e-07,01020041
-0.116557,3.997178e-07,7.4e-07,01020041
-0.119432,-1.1638e-06,7.5e-07,01020041
-0.116557,-2.0481e-06,7.6e-07,01020041
-0.115838,-8.922574e-07,7.7e-07,01020041
-0.12087,1.2842e-06,7.8e-07,01020041
-0.119432,1.280984e-07,7.9e-07,01020041
-0.120151,-3.477705e-07,8e-07,01020041
-0.118713,-1.9798e-06,8.1e-07,01020041
-0.115119,-6.883645e-07,8.2e-07,01020041
-0.12087,9.442047e-07,8.3e-07,01020041
-0.117994,7.398661e-07,8.4e-07,01020041
-0.12087,-1.0276e-06,8.5e-07,01020041
-0.119432,-2.3197e-06,8.6e-07,01020041
-0.121589,-1.1635e-06,8.7e-07,01020041
-0.120151,7.401335e-07,8.8e-07,01020041
-0.120151,1.0121e-06,8.9e-07,01020041
-0.119432,-1.438776e-07,9e-07,01020041
-0.12087,-1.9115e-06,9.1e-07,01020041
-0.12087,-1.2316e-06,9.2e-07,01020041
-0.116557,1.957358e-07,9.3e-07,01020041
-0.119432,1.012e-06,9.4e-07,01020041
-0.121589,-2.116042e-07,9.5e-07,01020041
-0.12087,-1.5716e-06,9.6e-07,01020041
-0.123026,-1.1633e-06,9.7e-07,01020041
-0.12087,9.442047e-07,9.8e-07,01020041
-0.119432,1.488e-06,9.9e-07,01020041
-0.12662,4.009659e-07,1e-06,01020041
-0.118713,-1.8438e-06,1.01e-06,01020041
-0.122307,-1.7074e-06,1.02e-06,01020041
-0.124464,-4.152296e-07,1.03e-06,01020041
-0.123026,9.444722e-07,1.04e-06,01020041
-0.125183,-7.1764e-09,1.05e-06,01020041
-0.125183,-1.503e-06,1.06e-06,01020041
-0.124464,-1.2992e-06,1.07e-06,01020041
-0.12662,5.369539e-07,1.08e-06,01020041
-0.125183,1.4207e-06,1.09e-06,01020041
-0.124464,2.647105e-07,1.1e-06,01020041
-0.124464,-1.5031e-06,1.11e-06,01020041
-0.12662,-2.0468e-06,1.12e-06,01020041
-0.125902,-4.150513e-07,1.13e-06,01020041
-0.12662,8.769238e-07,1.14e-06,01020041
-0.124464,-7.52595e-08,1.15e-06,01020041
-0.124464,-1.0272e-06,1.16e-06,01020041
-0.125902,-2.0469e-06,1.17e-06,01020041
-0.124464,-3.472356e-07,1.18e-06,01020041
-0.127339,1.149e-06,1.19e-06,01020041
-0.128777,6.12633e-08,1.2e-06,01020041
-0.127339,-7.54843e-07,1.21e-06,01020041
-0.128058,-1.5027e-06,1.22e-06,01020041
-0.128058,6.11742e-08,1.23e-06,01020041
-0.130933,1.3534e-06,1.24e-06,01020041
-0.128777,1.0812e-06,1.25e-06,01020041
-0.128058,-1.0267e-06,1.26e-06,01020041
-0.129496,-1.5025e-06,1.27e-06,01020041
-0.129496,-8.905635e-07,1.28e-06,01020041
-0.129496,6.732985e-07,1.29e-06,01020041
-0.130933,4.694949e-07,1.3e-06,01020041
-0.128777,-8.226587e-07,1.31e-06,01020041
-0.132371,-1.5701e-06,1.32e-06,01020041
-0.128777,-7.546647e-07,1.33e-06,01020041
-0.130933,9.454529e-07,1.34e-06,01020041
-0.128777,1.0812e-06,1.35e-06,01020041
-0.130215,-8.224804e-07,1.36e-06,01020041
-0.130933,-2.0463e-06,1.37e-06,01020041
-0.130933,-1.4343e-06,1.38e-06,01020041
-0.132371,8.77637e-07,1.39e-06,01020041
-0.13309,1.0817e-06,1.4e-06,01020041
-0.133809,-4.140706e-07,1.41e-06,01020041
-0.132371,-1.5022e-06,1.42e-06,01020041
-0.130215,-7.544864e-07,1.43e-06,01020041
-0.138841,4.704754e-07,1.44e-06,01020041
-0.134528,1.5578e-06,1.45e-06,01020041
-0.132371,-2.78261e-07,1.46e-06,01020041
-0.135246,-1.5018e-06,1.47e-06,01020041
-0.134528,-1.2979e-06,1.48e-06,01020041
-0.138122,6.743683e-07,1.49e-06,01020041
-0.135246,9.459877e-07,1.5e-06,01020041
-0.137403,-6.856008e-07,1.51e-06,01020041
-0.134528,-1.5699e-06,1.52e-06,01020041
-0.135965,-1.0937e-06,1.53e-06,01020041
-0.133809,4.018574e-07,1.54e-06,01020041
-0.137403,1.5582e-06,1.55e-06,01020041
-0.138122,2.664043e-07,1.56e-06,01020041
-0.13309,-1.2981e-06,1.57e-06,01020041
-0.138841,-1.8413e-06,1.58e-06,01020041
-0.135246,6.060177e-07,1.59e-06,01020041
-0.140997,1.3547e-06,1.6e-06,01020041
-0.138122,4.023923e-07,1.61e-06,01020041
-0.137403,-1.7055e-06,1.62e-06,01020041
-0.138841,-1.5014e-06,1.63e-06,01020041
-0.140997,6.747248e-07,1.64e-06,01020041
-0.139559,1.2865e-06,1.65e-06,01020041
-0.140278,6.26898e-08,1.66e-06,01020041
-0.139559,-1.4333e-06,1.67e-06,01020041
-0.138841,-1.9773e-06,1.68e-06,01020041
-0.141716,-2.771019e-07,1.69e-06,01020041
-0.136684,1.2181e-06,1.7e-06,01020041
-0.146029,2.673849e-07,1.71e-06,01020041
-0.139559,-1.1613e-06,1.72e-06,01020041
-0.140997,-1.3651e-06,1.73e-06,01020041
-0.142435,4.029272e-07,1.74e-06,01020041
-0.140997,1.4227e-06,1.75e-06,01020041
-0.141716,1.308621e-07,1.76e-06,01020041
-0.142435,-1.2969e-06,1.77e-06,01020041
-0.142435,-1.4329e-06,1.78e-06,01020041
-0.141716,-6.170719e-07,1.79e-06,01020041
-0.143154,7.429864e-07,1.8e-06,01020041
-0.144591,6.071767e-07,1.81e-06,01020041
-0.142435,-1.2289e-06,1.82e-06,01020041
-0.14531,-1.7045e-06,1.83e-06,01020041
-0.146029,-6.16537e-07,1.84e-06,01020041
-0.143154,1.2189e-06,1.85e-06,01020041
-0.141716,9.4679e-07,1.86e-06,01020041
-0.143872,-9.567746e-07,1.87e-06,01020041
-0.141716,-1.501e-06,1.88e-06,01020041
-0.146029,-4.80549e-07,1.89e-06,01020041
-0.150342,9.478599e-07,1.9e-06,01020041
-0.144591,2.672067e-07,1.91e-06,01020041
-0.146748,-1.2964e-06,1.92e-06,01020041
-0.148904,-2.18e-06,1.93e-06,01020041
-0.144591,-4.807274e-07,1.94e-06,01020041
-0.149623,9.477707e-07,1.95e-06,01020041
-0.148904,7.436996e-07,1.96e-06,01020041
-0.150342,-7.519901e-07,1.97e-06,01020041
-0.148185,-1.7722e-06,1.98e-06,01020041
-0.146748,-7.524359e-07,1.99e-06,01020041
-0.146748,1.0154e-06,2e-06,01020041
-0.149623,7.437888e-07,2.01e-06,01020041
-0.148904,-7.22285e-08,2.02e-06,01020041
-0.152498,-1.3637e-06,2.03e-06,01020041
-0.146748,-3.444719e-07,2.04e-06,01020041
-0.149623,1.0158e-06,2.05e-06,01020041
-0.151061,9.479491e-07,2.06e-06,01020041
-0.150342,-4.800141e-07,2.07e-06,01020041
-0.149623,-1.84e-06,2.08e-06,01020041
-0.15753,-1.2951e-06,2.09e-06,01020041
-0.148904,1.0157e-06,2.1e-06,01020041
-0.153936,1.1523e-06,2.11e-06,01020041
-0.146029,1.313969e-07,2.12e-06,01020041
-0.156093,-2.0432e-06,2.13e-06,01020041
-0.148904,-1.5681e-06,2.14e-06,01020041
-0.153936,2.003716e-07,2.15e-06,01020041
-0.155374,6.765079e-07,2.16e-06,01020041
-0.153936,-7.515444e-07,2.17e-06,01020041
-0.153217,-1.5676e-06,2.18e-06,01020041
-0.155374,-8.193601e-07,2.19e-06,01020041
-0.152498,2.001933e-07,2.2e-06,01020041
-0.152498,1.968e-06,2.21e-06,01020041
-0.152498,1.321993e-07,2.22e-06,01020041
-0.154655,-1.2954e-06,2.23e-06,01020041
